20130415150009	383 
20130415151509	730 
20130415153009	1137 
20130415154509	1593 
20130415160009	2161 
20130415161509	2833 
20130415163009	3384 
20130415164509	3821 
20130415170009	4226 
20130415171509	4623 
20130415173009	4909 
20130415174509	5208 
20130415180009	5495 
20130415181509	5788 
20130415183009	6065 
20130415184509	6333 
20130415190009	7056 
20130415191509	15879 
20130415193009	36302 
20130415194509	62554 
20130415200009	94094 
20130415201509	128976 
20130415203009	162369 
20130415204509	190109 
20130415210009	217706 
20130415211509	246139 
20130415213009	272793 
20130415214509	294650 
20130415220009	314201 
20130415221509	332174 
20130415223009	347771 
20130415224509	363529 
20130415230009	377442 
20130415231509	389023 
20130415233009	398689 
20130415234509	407309 
20130416000009	415442 
20130416001509	422944 
20130416003009	429852 
20130416004509	436833 
20130416010009	443949 
20130416011509	450549 
20130416013009	456567 
20130416014509	462339 
20130416020009	467633 
20130416021509	472935 
20130416023009	478074 
20130416024509	482605 
20130416030009	486816 
20130416031509	490839 
20130416033009	494528 
20130416034509	498037 
20130416040009	501157
