20130415150009	255 
20130415151509	488 
20130415153009	779 
20130415154509	1099 
20130415160009	1509 
20130415161509	2006 
20130415163009	2413 
20130415164509	2719 
20130415170009	3005 
20130415171509	3288 
20130415173009	3495 
20130415174509	3714 
20130415180009	3905 
20130415181509	4115 
20130415183009	4316 
20130415184509	4501 
20130415190009	4993 
20130415191509	11886 
20130415193009	28052 
20130415194509	48492 
20130415200009	72438 
20130415201509	96982 
20130415203009	117347 
20130415204509	135089 
20130415210009	152350 
20130415211509	169453 
20130415213009	185044 
20130415214509	197832 
20130415220009	208882 
20130415221509	218614 
20130415223009	226917 
20130415224509	235219 
20130415230009	243030 
20130415231509	249612 
20130415233009	255268 
20130415234509	260263 
20130416000009	265156 
20130416001509	269824 
20130416003009	274337 
20130416004509	279076 
20130416010009	283828 
20130416011509	288117 
20130416013009	292082 
20130416014509	295988 
20130416020009	299637 
20130416021509	303325 
20130416023009	306882 
20130416024509	309946 
20130416030009	312787 
20130416031509	315532 
20130416033009	318058 
20130416034509	320515 
20130416040009	322651
